	2	-0.812
#100ThingsThatMakeMeHappy	738	0.237516034327
#10ArtistsIWantToMeet	2271	0.220876632908
#10Desejos	894	0.246205438372
#10MillionForMiley	10	0.2301
#10ThingsIHateAboutMyself	104	0.161823717949
#10mesesComMoniqueAmin	125	0.227622
#15FatosSobreMim	13731	0.122075059129
#19AnosDePerfeiçãoMcRodolfinho	3885	0.253864002574
#1DThanksForSurpriseToBrazil	86	0.194331395349
#1DiaParaOTeleton2012	220	0.317264393939
#1YearOfTheEpicBreakingDawn1	318	0.200074318658
#20CoisasQueAprendiComiCarly	627	0.21564502924
#20SongsThatILike	1586	0.210456179067
#25ThingsILoveAboutKevinJonas	1075	0.30390427907
#30MillionBeliebers	51	0.22514869281
#3DVDLUANSANTANAEMSP	134	0.225212189055
#3YearsOfNewMoon	898	0.276588530067
#50tonsderecalquepotteriano	99	0.0369595959596
#5FilmesFavoritos	14	0.116357142857
#5HFollowSpree	4	0.24375
#5LugaresQueEuQueriaIr	1620	0.252492993827
#5MúsicasFavoritas	5454	0.257164093632
#6YearsOfKidrauhl	1260	0.213511230159
#7FactsAboutMyBestFriend	5668	0.151779738381
#7MúsicasFavoritas	873	0.274122394044
#7PessoasLindas	1114	0.236574820467
#7PessoasQueEuPegaria	1011	0.188974942301
#8PessoasQueamo	971	0.272832046001
#8ReasonsWhyImOnTwitter	325	0.198637435897
#AFazendaDeVerão	3897	0.212117393722
#AFazendadeVerão	264	0.177845328283
#AMA2012	1830	0.283862932605
#AMaisLindaPoesiaEstáNoSeuSorrisoMelF	362	0.178826657459
#AcaoGrio	464	0.384443606322
#AcreditoNoRNMaior	2664	0.251775519269
#AltasHoras	471	0.227860120311
#AmanhaLançamentoClipeF292	116	0.179168103448
#AnjoTeGuardoNosMeusPensamentosChrisL	13	0.117551282051
#AntesDeMorrerEu	863	0.256713692545
#AprendiComChay	3234	0.224321209913
#AprendiComLuanSantana	3813	0.16022052065
#AprendiNoEnem	762	0.0304337270341
#AquelaCoisaDeBraçosAbertos	923	0.0998406644998
#ArgentinaLovesBrazil	350	0.303775714286
#Ask5H	8	0.234625
#AskAlly	39	0.248935897436
#AskCarlyRose	3	0.195
#AskE3	904	0.249825589971
#AskLaris	567	0.166709876543
#AskLauren	3	0.148333333333
#AskTheDragon	94	0.184466312057
#AssistaClipePraTodoMundoOuvirFUSCA	306	0.258668028322
#AtividadeParanormal	287	0.0676944250871
#BDS6AnosDeOrgulhoDoRjProMundo	4523	0.174542862407
#BIEBERinBROOKLYN	3	0.282333333333
#BOMDIA	46	0.272173550725
#BRAZILWANTSBTRAGAIN	296	0.192247184685
#BTR3rdAlbum	656	0.249981427846
#BackstreetsBackAMARedCarpet	107	0.271911214953
#BaladaDaTL	2094	0.171413148679
#BatalhaNoSalto	116	0.232629597701
#BelieveKey	191	0.253169284468
#BemVindoJorgeCavalieri	80	0.226489583333
#BiancaRinaldiNoExtremeMakeoverSocial	158	0.327116485835
#BieberMemory	879	0.0789704209329
#BoaSorteRestartNoEMA	267	0.266994756554
#BolivarNaPraiaFIFA	48	0.187371527778
#BomDia	7872	0.278110885528
#Bomdia	893	0.254766815976
#BondeDaStrondaMeuTudo	540	0.0774319753087
#BondeDaStrondaNaPapoJovem	923	0.185762567714
#BrasilComPT	54	0.118906790123
#BrasilSemPT	990	0.206332263107
#BrazilIsMadForTW	67	0.212037313433
#BrazilLovesJustinDREWBieber	75	0.25596
#BrazilNeedsCody	154	0.198988095238
#BrazilWantsFifthHarmonyToWin	217	0.181701228879
#BrazilWantsJosephAtBloodlines	337	0.270487636004
#BrazilianDirectionersLoveYouLouis	2245	0.303473244246
#BreakingDawnLive	6321	0.255421576227
#BrianESophiaNoComandoMix	267	0.219369538077
#BrianESophiaNoPlantãoMixTv	686	0.325181972789
#BrianESophiaNoTopMix	948	0.154592211674
#CW7NoComandoMix	61	-0.15649726776
#CaiForaRosalba	193	0.103507944732
#CalypseiroSabeTudoNoRatinho	205	0.167495934959
#CarlaChat	542	0.224358733087
#Carlyto200k	45	0.317188888889
#CarrieHopeFletcher	14	0.219226190476
#Carrossel	117	0.226302706553
#CarrosselNoTeleton15anos	1345	0.331082726146
#Caso39	2489	0.108484123477
#CasosDeFamilia	219	0.199349315069
#ChaMelPraTodaAVida	5704	0.254885483871
#ChamelPraTodaAVida	2095	0.245688822593
#ChatCassiano	1621	0.396698190417
#ChatDaMia	211	0.173056319115
#ChatDaSophia	1774	0.196194287862
#ChatDorado	45	0.218307407407
#ChatElika	148	0.277670045045
#ChatSophia	1281	0.25647918293
#ChaySuedeOrgulhoMUNDIAL	2954	0.205987531031
#ChrisLeaoResponde	608	0.255468201754
#ChrisLeaoSuasLeonetesPiramNoBIGLEAO	48	0.2274375
#ChrisLeaoTrueLove	132	0.181678030303
#ChrisLeaoVenhaUsarSuasLeonetes	106	0.226529874214
#ChupaGremio	159	0.0624240041929
#ChupaPalmeiras	68	-0.0651164215686
#Cite10MusicasDoLuanSantana	3528	0.196006779101
#Cite10PersonagensDeAnime	82	0.199203252033
#Cite15MusicasDoNXZERO	1376	0.222278080011
#Cite20MusicasDaDemi	1322	0.210012355018
#Cite6Sonhos	5493	0.24006664808
#Cite8MusicasDeJustinBieber	533	0.214111475922
#CiteAlgoMelhorQueDormir	4146	0.296800578871
#CiteAmigosDeVerdade	985	0.309074614455
#CiteCoisasQueTeLembraOBrunoMars	1556	0.189241270351
#CiteLugaresPerfeitos	1466	0.455096521146
#CiteLugaresPerfeitosParaTransar	1121	0.335366785608
#CiteManias	1294	0.16951264812
#CiteMelhoresMusicasDoMundo	1982	0.269805506103
#CiteMúsicasDoBrunoMars	54	0.0907037037037
#CiteOsFcsMaisTopsDoTwitter	786	0.221652396098
#CiteUmFilmeComOrgasmo	2241	0.243611482969
#CiteUmFilmeComPiroca	8448	0.135872563526
#CiteUmFilmeComXana	1530	0.104178594771
#ClipeF292com112MILem5Dias	610	0.204712295082
#ClubBlueQueremosChrisLeaoDeVoltaPoços	26	0.0113846153846
#CoberturaAMA	43	0.338377906977
#ColetivaClaudiaLeitteEmNatal	126	0.194245238095
#ComeBackJennel	3045	0.221501784346
#ComoAproveitarOFimDoMundo	188	0.197571808511
#ConeCrewDestruindoSantaMaria	46	0.172976449275
#ConeCrewEsseÉMeuClã	172	0.113431976744
